CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_Complexity
PatternOptionBuilder,10,52,62,0.838709677,2,45,47,0.957446809,11,29,40
UnrecognizedOptionException,0,0,0,100,0,6,6,1,0,3,3
PosixParser,0,44,44,1,0,59,59,1,0,29,29
MissingArgumentException,0,0,0,100,0,6,6,1,0,3,3
BasicParser,0,0,0,100,0,2,2,1,0,2,2
CommandLine,1,31,32,0.96875,5,59,64,0.921875,3,33,36
HelpFormatter,11,101,112,0.901785714,7,187,194,0.963917526,13,82,95
GnuParser,0,20,20,1,0,28,28,1,0,12,12
AlreadySelectedException,0,0,0,100,0,9,9,1,0,4,4
ParseException,0,0,0,100,0,2,2,1,0,1,1
Options,0,16,16,1,0,46,46,1,0,21,21
OptionValidator,1,17,18,0.944444444,1,14,15,0.933333333,2,11,13
Option,14,56,70,0.8,11,99,110,0.9,14,63,77
MissingOptionException,0,6,6,1,0,15,15,1,0,7,7
OptionBuilder,0,4,4,1,0,60,60,1,0,22,22
OptionGroup,0,10,10,1,0,31,31,1,0,14,14
Parser,6,60,66,0.909090909,2,95,97,0.979381443,5,40,45
HelpFormatter.OptionComparator,0,0,0,100,0,3,3,1,0,1,1
TypeHandler,1,19,20,0.95,4,42,46,0.913043478,2,18,20
Util,0,10,10,1,1,12,13,0.923076923,1,7,8
