CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_Complexity
PatternOptionBuilder,1,43,44,0.977272727,2,49,51,0.960784314,2,29,31
UnrecognizedOptionException,0,0,0,100,0,6,6,1,0,3,3
PosixParser,0,52,52,1,0,69,69,1,0,33,33
AmbiguousOptionException,0,4,4,1,0,16,16,1,0,5,5
MissingArgumentException,0,0,0,100,0,6,6,1,0,3,3
BasicParser,0,0,0,100,0,2,2,1,0,2,2
CommandLine,1,31,32,0.96875,0,59,59,1,1,35,36
HelpFormatter,9,113,122,0.926229508,11,201,212,0.948113208,13,90,103
Option.Builder,0,6,6,1,3,29,32,0.90625,2,16,18
DefaultParser,11,147,158,0.930379747,5,182,187,0.973262032,11,92,103
GnuParser,0,20,20,1,0,28,28,1,0,12,12
AlreadySelectedException,0,0,0,100,0,9,9,1,0,4,4
ParseException,0,0,0,100,0,2,2,1,0,1,1
Options,0,20,20,1,2,55,57,0.964912281,1,26,27
OptionValidator,0,16,16,1,1,13,14,0.928571429,1,11,12
Option,16,66,82,0.804878049,12,117,129,0.906976744,17,72,89
MissingOptionException,0,6,6,1,0,15,15,1,0,7,7
OptionBuilder,0,4,4,1,3,60,63,0.952380952,2,21,23
OptionGroup,1,13,14,0.928571429,0,35,35,1,1,15,16
Parser,5,71,76,0.934210526,2,104,106,0.981132075,4,47,51
HelpFormatter.OptionComparator,0,0,0,100,0,1,1,1,0,1,1
TypeHandler,1,19,20,0.95,4,38,42,0.904761905,2,18,20
Util,0,14,14,1,1,11,12,0.916666667,1,9,10
