CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_covergae,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
TiedMapEntry,5,17,22,0.772727273,1,21,22,0.954545455,5,13,18
AbstractMapEntry,1,19,20,0.95,0,13,13,1,1,13,14
UnmodifiableMapEntry,0,0,0,100,0,7,7,1,0,4,4
AbstractKeyValue,0,0,0,100,0,17,17,1,0,6,6
MultiKey,0,12,12,1,0,37,37,1,0,20,20
DefaultMapEntry,0,0,0,100,0,6,6,1,0,3,3
DefaultKeyValue,5,19,24,0.791666667,1,24,25,0.96,5,16,21
AbstractMapEntryDecorator,2,2,4,0.5,3,11,14,0.785714286,3,7,10
TransformedSplitMap,3,5,8,0.625,7,23,30,0.766666667,5,10,15
AbstractIterableGetMapDecorator,2,2,4,0.5,5,18,23,0.782608696,5,13,18
AbstractCollectionDecorator,0,2,2,1,2,23,25,0.92,1,18,19
TransformedCollection,1,7,8,0.875,0,21,21,1,1,10,11
IndexedCollection,1,21,22,0.954545455,1,55,56,0.982142857,2,25,27
UnmodifiableBoundedCollection,5,9,14,0.642857143,7,21,28,0.75,7,13,20
PredicatedCollection,0,8,8,1,0,20,20,1,0,11,11
CompositeCollection,1,41,42,0.976190476,14,83,97,0.855670103,7,39,46
SynchronizedCollection,3,9,12,0.75,2,49,51,0.960784314,3,23,26
PredicatedCollection.Builder,8,10,18,0.555555556,12,36,48,0.75,9,14,23
UnmodifiableCollection,0,2,2,1,0,13,13,1,0,10,10
TransformingComparator,9,13,22,0.590909091,0,22,22,1,7,9,16
ReverseComparator,2,6,8,0.75,3,12,15,0.8,3,6,9
BooleanComparator,1,13,14,0.928571429,1,17,18,0.944444444,2,15,17
ComparableComparator,0,6,6,1,0,8,8,1,0,9,9
FixedOrderComparator.UnknownObjectBehavior,0,0,0,100,0,2,2,1,0,1,1
FixedOrderComparator,22,44,66,0.666666667,6,57,63,0.904761905,20,26,46
NullComparator,8,16,24,0.666666667,6,17,23,0.739130435,10,9,19
ComparatorChain,15,27,42,0.642857143,19,58,77,0.753246753,18,21,39
SortedProperties,0,2,2,1,0,8,8,1,0,3,3
KeepCommand,0,0,0,100,0,4,4,1,0,2,2
DeleteCommand,0,0,0,100,0,4,4,1,0,2,2
SequencesComparator,3,79,82,0.963414634,1,79,80,0.9875,3,44,47
SequencesComparator.Snake,0,0,0,100,0,8,8,1,0,4,4
ReplacementsFinder,4,0,4,0,17,0,17,0,6,0,6
EditCommand,0,0,0,100,0,4,4,1,0,2,2
InsertCommand,0,0,0,100,0,4,4,1,0,2,2
EditScript,0,2,2,1,1,19,20,0.95,1,7,8
StringKeyAnalyzer,10,24,34,0.705882353,4,36,40,0.9,11,14,25
AbstractMapBag,8,74,82,0.902439024,3,163,166,0.981927711,8,60,68
PredicatedBag,0,4,4,1,0,11,11,1,0,11,11
SynchronizedBag,0,2,2,1,2,19,21,0.904761905,1,10,11
AbstractMapBag.BagIterator,1,13,14,0.928571429,1,26,27,0.962962963,1,10,11
PredicatedSortedBag,0,0,0,100,0,7,7,1,0,6,6
AbstractSortedBagDecorator,0,0,0,100,3,5,8,0.625,2,4,6
UnmodifiableSortedBag,0,2,2,1,3,19,22,0.863636364,3,12,15
SynchronizedBag.SynchronizedBagSet,0,0,0,100,0,3,3,1,0,1,1
AbstractBagDecorator,0,4,4,1,3,8,11,0.727272727,2,9,11
SynchronizedSortedBag,0,0,0,100,9,3,12,0.25,5,2,7
