GROUP,PACKAGE,CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Tota_Branch,LINE_MISSED,LINE_COVERED,Total_lines,Line Coveage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Complexity
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,5,17,22,77.27%,1,21,22,95%,5,13,18
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntry,3,17,20,85.00%,1,12,13,92%,3,11,14
Apache Commons Collections,org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,0,0,0,0.00%,0,7,7,100%,0,4,4
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractKeyValue,0,0,0,0.00%,0,17,17,100%,0,6,6
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,0,12,12,100.00%,0,37,37,100%,0,20,20
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultMapEntry,0,0,0,0.00%,0,6,6,100%,0,3,3
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,5,19,24,79.17%,1,24,25,96%,5,16,21
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,2,2,4,50.00%,3,11,14,79%,3,7,10
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,3,5,8,62.50%,7,23,30,77%,5,10,15
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,1,1,2,50.00%,4,17,21,81%,4,13,17
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,0,6,6,100.00%,2,25,27,93%,1,22,23
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,1,7,8,87.50%,0,21,21,100%,1,10,11
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,1,21,22,95.45%,1,55,56,98%,2,25,27
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,5,9,14,64.29%,7,21,28,75%,7,13,20
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection,0,8,8,100.00%,0,18,18,100%,0,9,9
Apache Commons Collections,org.apache.commons.collections4.collection,CompositeCollection,1,41,42,97.62%,14,83,97,86%,7,39,46
Apache Commons Collections,org.apache.commons.collections4.collection,SynchronizedCollection,2,8,10,80.00%,1,48,49,98%,2,23,25
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableCollection,0,2,2,100.00%,0,13,13,100%,0,10,10
Apache Commons Collections,org.apache.commons.collections4.comparators,TransformingComparator,10,10,20,50.00%,3,19,22,86%,9,6,15
