CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_Complexity
NumericExpressionImpl,0,0,0,100,118,0,118,0,32,0,32
EnumExpressionImpl,0,0,0,100,8,0,8,0,4,0,4
CollectionExpressionImpl,0,0,0,100,16,0,16,0,6,0,6
StringExpressionImpl,0,0,0,100,108,0,108,0,29,0,29
LocalDateTimeExpressionImpl,0,0,0,100,18,0,18,0,9,0,9
ListExpressionImpl,0,0,0,100,12,0,12,0,4,0,4
LocalTimeExpressionImpl,0,0,0,100,12,0,12,0,6,0,6
OptionalExpressionImpl,0,0,0,100,8,0,8,0,4,0,4
ExpressionImpl,28,0,28,0,64,0,64,0,28,0,28
MapExpressionImpl,0,0,0,100,32,0,32,0,10,0,10
OrderExpressionImpl,0,0,0,100,6,0,6,0,3,0,3
ComparableExpressionImpl,0,0,0,100,48,0,48,0,15,0,15
TimeExpressionImpl,0,0,0,100,12,0,12,0,6,0,6
JDOQLTypedSubqueryImpl,10,0,10,0,53,0,53,0,19,0,19
DateTimeExpressionImpl,0,0,0,100,18,0,18,0,9,0,9
PersistableExpressionImpl,0,0,0,100,14,0,14,0,5,0,5
ByteExpressionImpl,0,0,0,100,6,0,6,0,3,0,3
DateExpressionImpl,0,0,0,100,12,0,12,0,6,0,6
AbstractJDOQLTypedQuery,178,0,178,0,246,0,246,0,95,0,95
ExpressionType,0,0,0,100,4,0,4,0,1,0,1
JDOQLTypedQueryImpl,328,0,328,0,609,0,609,0,232,0,232
BooleanExpressionImpl,0,0,0,100,19,0,19,0,7,0,7
CharacterExpressionImpl,0,0,0,100,14,0,14,0,7,0,7
ObjectExpressionImpl,0,0,0,100,6,0,6,0,3,0,3
LocalDateExpressionImpl,0,0,0,100,12,0,12,0,6,0,6
JDOTransaction,46,0,46,0,130,0,130,0,60,0,60
NucleusJDOHelper,176,0,176,0,237,0,237,0,104,0,104
FieldInstanceLifecycleEvent,0,0,0,100,4,0,4,0,2,0,2
JDOPersistenceManagerFactory,378,0,378,0,762,0,762,0,309,0,309
JDOStateInterrogation,10,0,10,0,23,0,23,0,17,0,17
JDOTypeConverter,0,0,0,100,7,0,7,0,5,0,5
JDOQueryCache,0,0,0,100,18,0,18,0,9,0,9
JDOPersistenceManagerFactory.new InheritableThreadLocal() {...},0,0,0,100,2,0,2,0,2,0,2
JDOSequence,0,0,0,100,18,0,18,0,7,0,7
JDOCallbackHandler,118,0,118,0,151,0,151,0,81,0,81
JDOFetchGroup,6,0,6,0,56,0,56,0,24,0,24
JDODataStoreCache,0,0,0,100,31,0,31,0,15,0,15
JDOPropertyNames,0,0,0,100,1,0,1,0,1,0,1
JDOExtent,4,0,4,0,28,0,28,0,12,0,12
JDOAdapter,84,0,84,0,112,54,166,0.325301205,61,4,65
LifecycleListenerForClass,20,0,20,0,32,0,32,0,16,0,16
JDOConnectionImpl,0,0,0,100,14,0,14,0,5,0,5
JDOTypeConverterUtils,16,0,16,0,26,0,26,0,12,0,12
JDOFetchPlan,0,0,0,100,42,0,42,0,19,0,19
JDOConnectionJDBCImpl,6,0,6,0,110,0,110,0,59,0,59
JDOEnhancer,0,0,0,100,41,0,41,0,18,0,18
JDOReplicationManager,64,0,64,0,136,0,136,0,41,0,41
JDOQuery,50,0,50,0,396,0,396,0,110,0,110
JDOClassNameConstants,0,0,0,100,3,0,3,0,2,0,2
JDOPersistenceManager,240,0,240,0,687,0,687,0,241,0,241
JDOPersistenceManagerProxy,0,0,0,100,153,0,153,0,105,0,105
TransientDirty,4,0,4,0,17,0,17,0,8,0,8
PersistentNontransactionalDirty,8,0,8,0,33,0,33,0,14,0,14
PersistentClean,12,0,12,0,48,0,48,0,19,0,19
DetachedClean,0,0,0,100,10,0,10,0,3,0,3
PersistentNontransactional,44,0,44,0,74,0,74,0,37,0,37
DetachedDirty,0,0,0,100,10,0,10,0,3,0,3
PersistentDirty,10,0,10,0,34,0,34,0,14,0,14
PersistentDeleted,6,0,6,0,23,0,23,0,11,0,11
PersistentNew,6,0,6,0,24,0,24,0,11,0,11
TransientClean,2,0,2,0,22,0,22,0,10,0,10
PersistentNewDeleted,4,0,4,0,19,0,19,0,10,0,10
LifeCycleStateFactory,0,0,0,100,17,0,17,0,3,0,3
Hollow,42,0,42,0,57,0,57,0,35,0,35
UpdateUserHandler,0,0,0,100,5,0,5,0,3,0,3
CreateTimestampHandler,0,0,0,100,5,0,5,0,3,0,3
CreateUserHandler,0,0,0,100,5,0,5,0,3,0,3
ComparatorClassHandler,0,0,0,100,4,0,4,0,2,0,2
UpdateTimestampHandler,0,0,0,100,5,0,5,0,3,0,3
SharedRelationHandler,2,0,2,0,10,0,10,0,3,0,3
SoftDeleteHandler,4,0,4,0,7,0,7,0,4,0,4
MultiTenantHandler,12,0,12,0,12,0,12,0,8,0,8
ReadOnlyHandler,0,0,0,100,6,0,6,0,3,0,3
DiscriminatorMetadataImpl,28,0,28,0,61,0,61,0,29,0,29
PropertyMetadataImpl,0,0,0,100,8,0,8,0,5,0,5
PrimaryKeyMetadataImpl,6,0,6,0,23,0,23,0,12,0,12
FetchGroupMetadataImpl,6,0,6,0,30,0,30,0,12,0,12
JDOMetadataImpl,10,0,10,0,70,0,70,0,24,0,24
JDOMetaDataHelper,448,0,448,0,620,0,620,0,254,0,254
KeyMetadataImpl,64,0,64,0,135,0,135,0,57,0,57
InheritanceMetadataImpl,24,0,24,0,44,0,44,0,22,0,22
JDOMetaDataManager.MetaDataRegisterClassListener,0,0,0,100,6,1,7,0.142857143,1,1,2
VersionMetadataImpl,34,0,34,0,62,0,62,0,30,0,30
JDOAnnotationReader.PersistenceCapableModel,0,0,0,100,1,0,1,0,1,0,1
CollectionMetadataImpl,0,0,0,100,15,0,15,0,10,0,10
ClassMetadataImpl,12,0,12,0,27,0,27,0,13,0,13
ExtensionMetadataImpl,0,0,0,100,8,0,8,0,4,0,4
ForeignKeyMetadataImpl,52,0,52,0,94,0,94,0,47,0,47
ValueMetadataImpl,62,0,62,0,133,0,133,0,55,0,55
MemberMetadataImpl,130,0,130,0,303,0,303,0,140,0,140
EmbeddedMetadataImpl,10,0,10,0,41,0,41,0,19,0,19
UniqueMetadataImpl,8,0,8,0,46,0,46,0,19,0,19
JDOMetaDataManager,202,46,248,0.185483871,248,95,343,0.27696793,130,20,150
JoinMetadataImpl,48,0,48,0,110,0,110,0,49,0,49
ElementMetadataImpl,64,0,64,0,135,0,135,0,57,0,57
ArrayMetadataImpl,0,0,0,100,15,0,15,0,10,0,10
JDOAnnotationUtils,138,0,138,0,211,0,211,0,87,0,87
IndexMetadataImpl,8,0,8,0,46,0,46,0,19,0,19
FetchPlanMetadataImpl,4,0,4,0,23,0,23,0,12,0,12
JDOMetaDataHandler,368,42,410,0.102439024,763,38,801,0.047440699,206,6,212
DatastoreIdentityMetadataImpl,44,0,44,0,56,0,56,0,35,0,35
SequenceMetadataImpl,6,0,6,0,24,0,24,0,15,0,15
AbstractMetadataImpl,12,0,12,0,27,0,27,0,12,0,12
OrderMetadataImpl,8,0,8,0,33,0,33,0,15,0,15
ColumnMetadataImpl,0,0,0,100,36,0,36,0,24,0,24
FieldMetadataImpl,0,0,0,100,4,0,4,0,2,0,2
InterfaceMetadataImpl,2,0,2,0,5,0,5,0,3,0,3
MapMetadataImpl,0,0,0,100,27,0,27,0,18,0,18
JDOAnnotationReader,880,0,880,0,1234,0,1234,0,453,0,453
TypeMetadataImpl,64,0,64,0,218,0,218,0,88,0,88
QueryMetadataImpl,8,0,8,0,29,0,29,0,19,0,19
PackageMetadataImpl,20,0,20,0,65,0,65,0,29,0,29
TransactionCommitingException,0,0,0,100,2,0,2,0,1,0,1
TransactionActiveException,0,0,0,100,2,0,2,0,1,0,1
NoPersistenceInformationException,0,0,0,100,2,0,2,0,1,0,1
TransactionNotWritableException,0,0,0,100,4,0,4,0,2,0,2
ClassNotPersistenceCapableException,0,0,0,100,4,0,4,0,2,0,2
ConnectionInUseException,0,0,0,100,2,0,2,0,1,0,1
TransactionNotReadableException,0,0,0,100,4,0,4,0,2,0,2
TransactionNotActiveException,0,0,0,100,4,0,4,0,2,0,2
JDOHelperGetObjectIdFunction,4,0,4,0,11,0,11,0,4,0,4
JDOHelperGetVersionFunction,4,0,4,0,11,0,11,0,4,0,4
