CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_Complexity,KILLED,NO_COVERAGE,SURVIVED,TIMED_OUT,MutationScore
AbstractJDOQLTypedQuery,208,0,208,0,279,0,279,0,110,0,110,0,129,0,0,0
AbstractMetadataImpl,12,0,12,0,27,0,27,0,12,0,12,0,16,0,0,0
ArrayMetadataImpl,0,0,0,100,15,0,15,0,10,0,10,0,9,0,0,0
BooleanExpressionImpl,0,0,0,100,19,0,19,0,7,0,7,0,4,0,0,0
ByteExpressionImpl,0,0,0,100,6,0,6,0,3,0,3,0,0,0,0,0
CharacterExpressionImpl,0,0,0,100,14,0,14,0,7,0,7,0,4,0,0,0
ClassMetadataImpl,12,0,12,0,27,0,27,0,13,0,13,0,14,0,0,0
ClassNotPersistenceCapableException,0,0,0,100,4,0,4,0,2,0,2,0,0,0,0,0
CollectionExpressionImpl,0,0,0,100,16,0,16,0,6,0,6,0,4,0,0,0
CollectionMetadataImpl,0,0,0,100,15,0,15,0,10,0,10,0,9,0,0,0
ColumnMetadataImpl,0,0,0,100,36,0,36,0,24,0,24,0,23,0,0,0
ComparableExpressionImpl,0,0,0,100,48,0,48,0,15,0,15,0,12,0,0,0
ComparatorClassHandler,0,0,0,100,4,0,4,0,2,0,2,0,0,0,0,0
ConnectionInUseException,0,0,0,100,2,0,2,0,1,0,1,0,0,0,0,0
CreateTimestampHandler,0,0,0,100,5,0,5,0,3,0,3,0,0,0,0,0
CreateUserHandler,0,0,0,100,5,0,5,0,3,0,3,0,0,0,0,0
DatastoreIdentityMetadataImpl,44,0,44,0,56,0,56,0,35,0,35,0,44,0,0,0
DateExpressionImpl,0,0,0,100,12,0,12,0,6,0,6,0,3,0,0,0
DateTimeExpressionImpl,0,0,0,100,18,0,18,0,9,0,9,0,6,0,0,0
DetachedClean,0,0,0,100,10,0,10,0,3,0,3,0,2,0,0,0
DetachedDirty,0,0,0,100,10,0,10,0,3,0,3,0,2,0,0,0
DiscriminatorMetadataImpl,28,0,28,0,61,0,61,0,29,0,29,0,36,0,0,0
ElementMetadataImpl,64,0,64,0,135,0,135,0,57,0,57,0,89,0,0,0
EmbeddedMetadataImpl,10,0,10,0,41,0,41,0,19,0,19,0,22,0,0,0
EnumExpressionImpl,0,0,0,100,8,0,8,0,4,0,4,0,1,0,0,0
ExpressionImpl,34,0,34,0,78,0,78,0,32,0,32,0,35,0,0,0
ExpressionType,0,0,0,100,4,0,4,0,1,0,1,0,0,0,0,0
ExtensionMetadataImpl,0,0,0,100,8,0,8,0,4,0,4,0,3,0,0,0
FetchGroupMetadataImpl,6,0,6,0,30,0,30,0,12,0,12,0,14,0,0,0
FetchPlanMetadataImpl,4,0,4,0,23,0,23,0,12,0,12,0,14,0,0,0
FieldInstanceLifecycleEvent,0,0,0,100,4,0,4,0,2,0,2,0,1,0,0,0
FieldMetadataImpl,0,0,0,100,4,0,4,0,2,0,2,0,0,0,0,0
ForeignKeyMetadataImpl,52,0,52,0,94,0,94,0,47,0,47,0,69,0,0,0
GeometryCollectionExpressionImpl,0,0,0,100,6,0,6,0,3,0,3,0,0,0,0,0
GeometryExpressionImpl,0,0,0,100,102,0,102,0,35,0,35,0,32,0,0,0
GeospatialHelperImpl,0,0,0,100,161,0,161,0,33,0,33,0,32,0,0,0
Hollow,42,0,42,0,57,0,57,0,35,0,35,0,47,0,0,0
IfThenElseExpressionImpl,0,0,0,100,12,0,12,0,5,0,5,0,8,0,0,0
IndexMetadataImpl,8,0,8,0,46,0,46,0,19,0,19,0,27,0,0,0
InheritanceMetadataImpl,24,0,24,0,44,0,44,0,22,0,22,0,27,0,0,0
InterfaceMetadataImpl,2,0,2,0,5,0,5,0,3,0,3,0,2,0,0,0
JDOAdapter,84,0,84,0,112,54,166,0.325301205,61,4,65,1,72,1,0,1.351351351
JDOAnnotationReader,880,0,880,0,1234,0,1234,0,453,0,453,0,795,0,0,0
JDOAnnotationReader.PersistenceCapableModel,0,0,0,100,1,0,1,0,1,0,1,0,0,0,0,0
JDOAnnotationUtils,138,0,138,0,211,0,211,0,87,0,87,0,159,0,0,0
JDOCallbackHandler,118,0,118,0,151,0,151,0,81,0,81,0,86,0,0,0
