CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_Complexity,,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT
NonLinearConjugateGradientOptimizer.IdentityPreconditioner,0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
NonLinearConjugateGradientOptimizer.Formula,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
NonLinearConjugateGradientOptimizer,5,28,33,0.848484848,10,61,71,0.85915493,7,19,26,NonLinearConjugateGradientOptimizer,112,0,5,6,1
NonLinearConjugateGradientOptimizer.BracketingStep,0,0,0,100,4,0,4,0,2,0,2,#N/A,0,0,0,0,0
QuasiSigmoidDecayFunction,0,6,6,1,0,18,18,1,0,5,5,QuasiSigmoidDecayFunction,10,0,0,1,0
ExponentialDecayFunction,0,8,8,1,0,13,13,1,0,6,6,ExponentialDecayFunction,14,0,0,1,0
SimpleUnivariateValueChecker,2,8,10,0.8,3,16,19,0.842105263,3,6,9,SimpleUnivariateValueChecker,22,0,0,4,0
BaseAbstractUnivariateOptimizer,2,2,4,0.5,2,27,29,0.931034483,2,11,13,BaseAbstractUnivariateOptimizer,18,0,0,0,0
UnivariatePointValuePair,0,0,0,100,0,6,6,1,0,3,3,UnivariatePointValuePair,4,0,0,0,0
BracketFinder,16,30,46,0.652173913,17,76,93,0.817204301,17,18,35,BracketFinder,81,0,18,83,0
BrentOptimizer,5,69,74,0.932432432,6,116,122,0.950819672,5,37,42,BrentOptimizer,189,0,4,37,0
UnivariateMultiStartOptimizer,4,10,14,0.714285714,5,28,33,0.848484848,6,9,15,UnivariateMultiStartOptimizer,26,0,3,4,0
UnivariateMultiStartOptimizer.new Comparator() {...},3,5,8,0.625,1,8,9,0.888888889,3,3,6,#N/A,0,0,0,0,0
RegressionResults,28,30,58,0.517241379,34,53,87,0.609195402,28,18,46,RegressionResults,66,0,25,15,0
GLSMultipleLinearRegression,0,2,2,1,3,21,24,0.875,1,7,8,GLSMultipleLinearRegression,8,0,3,1,0
OLSMultipleLinearRegression,0,12,12,1,0,43,43,1,0,18,18,OLSMultipleLinearRegression,40,0,0,0,0
MillerUpdatingRegression,66,208,274,0.759124088,83,429,512,0.837890625,57,104,161,MillerUpdatingRegression,466,0,62,121,0
SimpleRegression,44,80,124,0.64516129,51,180,231,0.779220779,33,61,94,SimpleRegression,218,0,49,24,0
AbstractMultipleLinearRegression,6,42,48,0.875,6,78,84,0.928571429,7,37,44,AbstractMultipleLinearRegression,54,0,1,7,0
ModelSpecificationException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
OrientedPoint,2,4,6,0.666666667,8,12,20,0.6,7,9,16,OrientedPoint,11,0,5,0,0
Vector1DFormat,1,3,4,0.75,4,19,23,0.826086957,2,9,11,Vector1DFormat,8,0,0,0,0
Euclidean1D.LazyHolder,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
Vector1D,1,15,16,0.9375,3,71,74,0.959459459,2,41,43,Vector1D,67,0,3,4,0
Euclidean1D,0,0,0,100,0,4,4,1,0,4,4,Euclidean1D,3,0,0,0,0
Euclidean1D.NoSubSpaceException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
IntervalsSet,15,77,92,0.836956522,19,125,144,0.868055556,17,60,77,IntervalsSet,84,0,11,17,13
SubOrientedPoint,0,6,6,1,2,7,9,0.777777778,2,7,9,SubOrientedPoint,6,0,2,3,0
IntervalsSet.SubIntervalsIterator,1,21,22,0.954545455,2,34,36,0.944444444,2,14,16,#N/A,0,0,0,0,0
Interval,0,8,8,1,4,13,17,0.764705882,4,10,14,Interval,18,0,4,4,0
Relationship,0,3,3,1,1,11,12,0.916666667,1,5,6,Relationship,4,0,2,2,0
AbstractLinearOptimizer,1,1,2,0.5,1,19,20,0.95,1,10,11,AbstractLinearOptimizer,8,0,0,2,1
LinearConstraint,7,5,12,0.416666667,18,21,39,0.538461538,9,8,17,LinearConstraint,25,0,19,4,0
SimplexSolver,0,54,54,1,0,82,82,1,0,34,34,SimplexSolver,95,0,1,31,11
LinearObjectiveFunction,4,4,8,0.5,4,19,23,0.826086957,6,8,14,LinearObjectiveFunction,25,0,10,2,0
UnboundedSolutionException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
SimplexTableau,11,117,128,0.9140625,10,178,188,0.946808511,14,82,96,SimplexTableau,354,0,26,21,10
NoFeasibleSolutionException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
OpenIntToDoubleHashMap,0,68,68,1,0,157,157,1,0,58,58,OpenIntToDoubleHashMap,98,2,0,25,8
FastMath.CodyWaite,0,2,2,1,0,24,24,1,0,5,5,#N/A,0,0,0,0,0
DefaultTransformer,0,6,6,1,1,12,13,0.923076923,1,6,7,DefaultTransformer,6,0,1,1,0
FastMath.lnMant,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
Combinations.LexicographicIterator,3,15,18,0.833333333,4,38,42,0.904761905,4,9,13,#N/A,0,0,0,0,0
Decimal64,2,12,14,0.857142857,11,86,97,0.886597938,11,67,78,Decimal64,90,0,9,1,0
ResizableDoubleArray,11,78,89,0.876404494,18,213,231,0.922077922,18,76,94,ResizableDoubleArray,109,0,6,32,0
FastMath,56,800,856,0.934579439,38,1488,1526,0.975098296,48,472,520,FastMath,2144,0,42,355,14
BigReal,0,4,4,1,6,76,82,0.926829268,4,33,37,BigReal,15,0,2,2,0
Decimal64Field,0,0,0,100,0,5,5,1,0,5,5,Decimal64Field,4,0,0,0,0
MultidimensionalCounter.Iterator,1,7,8,0.875,3,16,19,0.842105263,4,7,11,#N/A,0,0,0,0,0
MedianOf3PivotingStrategy,0,10,10,1,0,14,14,1,0,7,7,MedianOf3PivotingStrategy,12,0,0,7,0
MathUtils,22,40,62,0.64516129,4,36,40,0.9,16,28,44,MathUtils,52,0,0,28,0
