CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
NonLinearConjugateGradientOptimizer.IdentityPreconditioner,0,0,0,100.00,0,2,2,100%,0,2,2
NonLinearConjugateGradientOptimizer.Formula,0,0,0,100.00,0,3,3,100%,0,1,1
NonLinearConjugateGradientOptimizer,5,28,33,0.85,10,61,71,86%,7,19,26
NonLinearConjugateGradientOptimizer.BracketingStep,0,0,0,100.00,4,0,4,0%,2,0,2
QuasiSigmoidDecayFunction,0,6,6,1.00,0,18,18,100%,0,5,5
ExponentialDecayFunction,0,8,8,1.00,0,13,13,100%,0,6,6
SimpleUnivariateValueChecker,2,8,10,0.80,3,16,19,84%,3,6,9
BaseAbstractUnivariateOptimizer,2,2,4,0.50,2,27,29,93%,2,11,13
UnivariatePointValuePair,0,0,0,100.00,0,6,6,100%,0,3,3
BracketFinder,16,30,46,0.65,17,76,93,82%,17,18,35
BrentOptimizer,5,69,74,0.93,6,116,122,95%,5,37,42
UnivariateMultiStartOptimizer,4,10,14,0.71,5,28,33,85%,6,9,15
UnivariateMultiStartOptimizer.new Comparator() {...},3,5,8,0.63,1,8,9,89%,3,3,6
RegressionResults,28,30,58,0.52,34,53,87,61%,28,18,46
GLSMultipleLinearRegression,0,2,2,1.00,3,21,24,88%,1,7,8
OLSMultipleLinearRegression,0,12,12,1.00,0,43,43,100%,0,18,18
MillerUpdatingRegression,66,208,274,0.76,83,429,512,84%,57,104,161
SimpleRegression,43,81,124,0.65,48,180,228,79%,32,62,94
AbstractMultipleLinearRegression,6,42,48,0.88,6,78,84,93%,7,37,44
ModelSpecificationException,0,0,0,100.00,0,2,2,100%,0,1,1
OrientedPoint,2,4,6,0.67,8,12,20,60%,7,9,16
Vector1DFormat,1,3,4,0.75,4,19,23,83%,2,9,11
Euclidean1D.LazyHolder,0,0,0,100.00,0,1,1,100%,0,1,1
Vector1D,1,15,16,0.94,3,71,74,96%,2,41,43
Euclidean1D,0,0,0,100.00,0,4,4,100%,0,4,4
Euclidean1D.NoSubSpaceException,0,0,0,100.00,0,2,2,100%,0,1,1
IntervalsSet,15,77,92,0.84,19,125,144,87%,17,60,77
SubOrientedPoint,0,6,6,1.00,2,7,9,78%,2,7,9
IntervalsSet.SubIntervalsIterator,1,21,22,0.95,2,34,36,94%,2,14,16
Interval,0,8,8,1.00,4,13,17,76%,4,10,14
Relationship,0,3,3,1.00,1,11,12,92%,1,5,6
AbstractLinearOptimizer,1,1,2,0.50,1,19,20,95%,1,10,11
LinearConstraint,7,5,12,0.42,18,21,39,54%,9,8,17
SimplexSolver,0,54,54,1.00,0,82,82,100%,0,34,34
LinearObjectiveFunction,4,4,8,0.50,4,19,23,83%,6,8,14
UnboundedSolutionException,0,0,0,100.00,0,2,2,100%,0,1,1
SimplexTableau,11,117,128,0.91,10,178,188,95%,14,82,96
NoFeasibleSolutionException,0,0,0,100.00,0,2,2,100%,0,1,1
OpenIntToDoubleHashMap,0,68,68,1.00,0,157,157,100%,0,58,58
FastMath.CodyWaite,0,2,2,1.00,0,24,24,100%,0,5,5
DefaultTransformer,0,6,6,1.00,1,12,13,92%,1,6,7
FastMath.lnMant,0,0,0,100.00,0,2,2,100%,0,1,1
Combinations.LexicographicIterator,3,15,18,0.83,4,38,42,90%,4,9,13
Decimal64,2,12,14,0.86,11,86,97,89%,11,67,78
ResizableDoubleArray,11,78,89,0.88,18,213,231,92%,18,76,94
FastMath,56,800,856,0.93,38,1484,1522,98%,48,472,520
BigReal,0,4,4,1.00,6,76,82,93%,4,33,37
Decimal64Field,0,0,0,100.00,0,5,5,100%,0,5,5
MultidimensionalCounter.Iterator,1,7,8,0.88,3,16,19,84%,4,7,11
MedianOf3PivotingStrategy,0,10,10,1.00,0,14,14,100%,0,7,7
MathUtils,22,40,62,0.65,4,36,40,90%,16,28,44
Precision,33,98,131,0.75,3,116,119,97%,24,67,91
IterationEvent,0,0,0,100.00,0,4,4,100%,0,2,2
Combinations,1,5,6,0.83,1,15,16,94%,1,8,9
KthSelector,1,37,38,0.97,0,47,47,100%,1,23,24
FastMath.ExpIntTable,0,0,0,100.00,0,3,3,100%,0,1,1
CombinatoricsUtils,2,96,98,0.98,1,121,122,99%,2,57,59
FastMathCalc,62,0,62,0.00,275,0,275,0%,48,0,48
MathArrays,62,225,287,0.78,68,414,482,86%,42,155,197
MathArrays.new Comparator() {...},0,0,0,100.00,0,2,2,100%,0,2,2
MathArrays.new Comparator() {...},0,0,0,100.00,0,2,2,100%,0,2,2
OpenIntToDoubleHashMap.Iterator,4,12,16,0.75,4,24,28,86%,4,9,13
CompositeFormat,1,27,28,0.96,0,56,56,100%,1,21,22
OpenIntToFieldHashMap.Iterator,4,12,16,0.75,5,23,28,82%,4,9,13
FastMathLiteralArrays,0,0,0,100.00,0,10,10,100%,0,6,6
Incrementor.new Incrementor.MaxCountExceededCallback() {...},0,0,0,100.00,0,2,2,100%,0,2,2
MultidimensionalCounter,2,22,24,0.92,4,45,49,92%,2,18,20
Combinations.LexicographicComparator,0,14,14,1.00,0,26,26,100%,0,10,10
Combinations.IterationOrder,0,0,0,100.00,0,2,2,100%,0,1,1
Combinations.SingletonIterator,1,1,2,0.50,2,8,10,80%,2,3,5
ResizableDoubleArray.ExpansionMode,0,0,0,100.00,0,3,3,100%,0,1,1
ContinuedFraction,7,9,16,0.56,11,31,42,74%,9,4,13
Incrementor,1,7,8,0.88,2,22,24,92%,1,13,14
MathArrays.OrderDirection,0,0,0,100.00,0,3,3,100%,0,1,1
ArithmeticUtils,10,140,150,0.93,20,200,220,91%,15,87,102
FastMath.ExpFracTable,0,0,0,100.00,0,3,3,100%,0,1,1
RandomPivotingStrategy,0,0,0,100.00,2,3,5,60%,1,1,2
IterationManager,0,8,8,1.00,7,27,34,79%,3,13,16
MathArrays.Position,0,0,0,100.00,0,3,3,100%,0,1,1
BigRealField,0,0,0,100.00,1,4,5,80%,1,4,5
OpenIntToFieldHashMap,0,68,68,1.00,5,155,160,97%,2,57,59
TransformerMap,8,12,20,0.60,10,31,41,76%,8,14,22
Pair,5,15,20,0.75,3,21,24,88%,6,14,20
CentralPivotingStrategy,0,0,0,100.00,2,1,3,33%,1,1,2
BigRealField.LazyHolder,0,0,0,100.00,0,1,1,100%,0,1,1
DummyLocalizable,0,0,0,100.00,6,0,6,0%,4,0,4
ArgUtils,1,7,8,0.88,0,8,8,100%,1,4,5
LocalizedFormats,1,1,2,0.50,1,338,339,100%,1,4,5
ExceptionContext,0,20,20,1.00,1,79,80,99%,1,27,28
FuzzyKMeansClusterer,14,42,56,0.75,21,104,125,83%,13,33,46
MultiKMeansPlusPlusClusterer,0,4,4,1.00,3,16,19,84%,3,5,8
KMeansPlusPlusClusterer.EmptyClusterStrategy,0,0,0,100.00,0,5,5,100%,0,1,1
DoublePoint,1,3,4,0.75,2,12,14,86%,2,6,8
CentroidCluster,0,0,0,100.00,0,4,4,100%,0,2,2
DBSCANClusterer.PointStatus,0,0,0,100.00,0,3,3,100%,0,1,1
Clusterer,0,0,0,100.00,0,5,5,100%,0,3,3
DBSCANClusterer,0,28,28,1.00,0,55,55,100%,0,22,22
Cluster,0,0,0,100.00,0,6,6,100%,0,3,3
KMeansPlusPlusClusterer,38,50,88,0.57,65,104,169,62%,31,31,62
LegendreHighPrecisionRuleFactory,0,24,24,1.00,0,98,98,100%,0,15,15
SymmetricGaussIntegrator,0,6,6,1.00,0,25,25,100%,0,6,6
HermiteRuleFactory,0,24,24,1.00,0,69,69,100%,0,14,14
BaseRuleFactory,2,8,10,0.80,4,28,32,88%,2,8,10
GaussIntegratorFactory,0,2,2,1.00,0,18,18,100%,0,9,9
LegendreRuleFactory,0,24,24,1.00,0,61,61,100%,0,14,14
GaussIntegrator,1,3,4,0.75,1,21,22,95%,1,7,8
Kurtosis,3,13,16,0.81,3,49,52,94%,4,14,18
FourthMoment,0,2,2,1.00,3,26,29,90%,1,7,8
StandardDeviation,0,0,0,100.00,9,28,37,76%,5,12,17
VectorialCovariance,9,19,28,0.68,13,39,52,75%,9,12,21
ThirdMoment,0,2,2,1.00,0,29,29,100%,0,8,8
SemiVariance.Direction,0,0,0,100.00,0,7,7,100%,0,3,3
FirstMoment,0,2,2,1.00,3,32,35,91%,1,8,9
SecondMoment,0,2,2,1.00,3,20,23,87%,1,7,8
GeometricMean,1,3,4,0.75,6,29,35,83%,3,12,15
VectorialMean,4,12,16,0.75,7,20,27,74%,5,9,14
Mean,3,9,12,0.75,4,43,47,91%,4,14,18
SemiVariance,0,12,12,1.00,23,32,55,58%,9,14,23
Skewness,2,14,16,0.88,3,52,55,95%,3,15,18
Variance,14,32,46,0.70,10,101,111,91%,17,27,44
Atan,0,0,0,100.00,2,2,4,50%,2,2,4
Atanh,0,0,0,100.00,4,0,4,0%,4,0,4
Cosh,0,0,0,100.00,1,3,4,75%,1,3,4
Atan2,0,0,0,100.00,2,0,2,0%,2,0,2
Divide,0,0,0,100.00,0,2,2,100%,0,2,2
Tan,0,0,0,100.00,2,2,4,50%,2,2,4
Floor,0,0,0,100.00,0,2,2,100%,0,2,2
Expm1,0,0,0,100.00,2,2,4,50%,2,2,4
Logit.Parametric,0,4,4,1.00,4,8,12,67%,1,5,6
Abs,0,0,0,100.00,0,2,2,100%,0,2,2
Constant,0,0,0,100.00,1,5,6,83%,1,3,4
Ceil,0,0,0,100.00,0,2,2,100%,0,2,2
Add,0,0,0,100.00,0,2,2,100%,0,2,2
Logit,0,16,16,1.00,3,27,30,90%,2,12,14
Logistic,0,2,2,1.00,1,13,14,93%,1,5,6
Acos,0,0,0,100.00,2,2,4,50%,2,2,4
Sigmoid.Parametric,0,4,4,1.00,0,11,11,100%,0,6,6
Max,0,0,0,100.00,0,2,2,100%,0,2,2
Rint,0,0,0,100.00,0,2,2,100%,0,2,2
Asinh,0,0,0,100.00,4,0,4,0%,4,0,4
HarmonicOscillator,0,4,4,1.00,1,17,18,94%,1,6,7
Acosh,0,0,0,100.00,4,0,4,0%,4,0,4
Gaussian,0,14,14,1.00,1,37,38,97%,1,13,14
StepFunction,0,14,14,1.00,0,19,19,100%,0,9,9
Min,0,0,0,100.00,0,2,2,100%,0,2,2
Sigmoid,0,8,8,1.00,1,28,29,97%,1,9,10
HarmonicOscillator.Parametric,0,4,4,1.00,0,17,17,100%,0,6,6
Power,0,0,0,100.00,1,5,6,83%,1,3,4
Identity,0,0,0,100.00,1,3,4,75%,1,3,4
Signum,0,0,0,100.00,0,2,2,100%,0,2,2
Multiply,0,0,0,100.00,0,2,2,100%,0,2,2
Minus,0,0,0,100.00,1,3,4,75%,1,3,4
Sin,0,0,0,100.00,0,4,4,100%,0,4,4
Log10,0,0,0,100.00,2,2,4,50%,2,2,4
Asin,0,0,0,100.00,2,2,4,50%,2,2,4
Logistic.Parametric,0,6,6,1.00,2,25,27,93%,1,6,7
Sqrt,0,0,0,100.00,1,3,4,75%,1,3,4
Ulp,0,0,0,100.00,0,2,2,100%,0,2,2
Tanh,0,0,0,100.00,2,2,4,50%,2,2,4
Log1p,0,0,0,100.00,2,2,4,50%,2,2,4
Subtract,0,0,0,100.00,2,0,2,0%,2,0,2
Exp,0,0,0,100.00,2,2,4,50%,2,2,4
Gaussian.Parametric,0,6,6,1.00,0,21,21,100%,0,7,7
Cos,0,0,0,100.00,1,3,4,75%,1,3,4
Log,0,0,0,100.00,1,3,4,75%,1,3,4
Sinc,2,24,26,0.92,1,50,51,98%,3,15,18
Sinh,0,0,0,100.00,2,2,4,50%,2,2,4
Pow,0,0,0,100.00,0,2,2,100%,0,2,2
Inverse,0,0,0,100.00,1,3,4,75%,1,3,4
Cbrt,0,0,0,100.00,2,2,4,50%,2,2,4
PSquarePercentile.Markers,0,38,38,1.00,0,90,90,100%,0,35,35
Percentile,3,42,45,0.93,10,106,116,91%,4,47,51
PSquarePercentile.FixedCapacityList,3,5,8,0.63,0,7,7,100%,3,4,7
PSquarePercentile,0,48,48,1.00,0,77,77,100%,0,39,39
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,5,5,100%,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,2,2,1.00,0,4,4,100%,0,3,3
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1.00,0,10,10,100%,0,5,5
Percentile.EstimationType.new Percentile.EstimationType() {...},0,2,2,1.00,0,4,4,100%,0,4,4
Median,0,0,0,100.00,3,6,9,67%,2,4,6
Percentile.EstimationType,0,8,8,1.00,0,31,31,100%,0,10,10
PSquarePercentile.Marker,7,43,50,0.86,1,71,72,99%,7,33,40
Min,0,12,12,1.00,3,29,32,91%,1,14,15
Max,0,12,12,1.00,3,29,32,91%,1,14,15
DfpField,8,38,46,0.83,12,155,167,93%,19,44,63
Dfp,81,697,778,0.90,82,1016,1098,93%,83,426,509
DfpDec,12,100,112,0.89,25,109,134,81%,22,56,78
DfpField.RoundingMode,0,0,0,100.00,0,9,9,100%,0,1,1
DfpMath,40,154,194,0.79,34,341,375,91%,29,88,117
BracketingNthOrderBrentSolverDFP,7,59,66,0.89,13,116,129,90%,9,36,45
EvaluationRmsChecker,0,4,4,1.00,2,8,10,80%,1,4,5
LevenbergMarquardtOptimizer.InternalData,0,0,0,100.00,0,8,8,100%,0,1,1
OptimumImpl,0,0,0,100.00,2,12,14,86%,2,8,10
LeastSquaresAdapter,0,0,0,100.00,0,10,10,100%,0,8,8
DenseWeightedEvaluation,0,0,0,100.00,0,7,7,100%,0,4,4
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100.00,0,4,4,100%,0,2,2
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100.00,0,10,10,100%,0,2,2
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100.00,0,6,6,100%,0,2,2
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100.00,0,10,10,100%,0,2,2
LevenbergMarquardtOptimizer,16,186,202,0.92,17,361,378,96%,20,99,119
LeastSquaresFactory.LocalValueAndJacobianFunction,0,0,0,100.00,0,9,9,100%,0,4,4
