CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
NonLinearConjugateGradientOptimizer.IdentityPreconditioner,0,0,0,100,0,2,2,1,0,2,2
NonLinearConjugateGradientOptimizer.Formula,0,0,0,100,0,3,3,1,0,1,1
NonLinearConjugateGradientOptimizer,5,28,33,0.848484848,10,61,71,0.85915493,7,19,26
NonLinearConjugateGradientOptimizer.BracketingStep,0,0,0,100,4,0,4,0,2,0,2
QuasiSigmoidDecayFunction,0,6,6,1,0,18,18,1,0,5,5
ExponentialDecayFunction,0,8,8,1,0,13,13,1,0,6,6
SimpleUnivariateValueChecker,2,8,10,0.8,3,16,19,0.842105263,3,6,9
BaseAbstractUnivariateOptimizer,2,2,4,0.5,2,27,29,0.931034483,2,11,13
UnivariatePointValuePair,0,0,0,100,0,6,6,1,0,3,3
BracketFinder,16,30,46,0.652173913,17,76,93,0.817204301,17,18,35
BrentOptimizer,5,69,74,0.932432432,6,116,122,0.950819672,5,37,42
UnivariateMultiStartOptimizer,4,10,14,0.714285714,5,28,33,0.848484848,6,9,15
UnivariateMultiStartOptimizer.new Comparator() {...},3,5,8,0.625,1,8,9,0.888888889,3,3,6
RegressionResults,28,30,58,0.517241379,34,53,87,0.609195402,28,18,46
GLSMultipleLinearRegression,0,2,2,1,3,21,24,0.875,1,7,8
OLSMultipleLinearRegression,0,12,12,1,0,43,43,1,0,18,18
MillerUpdatingRegression,66,208,274,0.759124088,83,429,512,0.837890625,57,104,161
SimpleRegression,44,80,124,0.64516129,49,179,228,0.785087719,33,61,94
AbstractMultipleLinearRegression,6,42,48,0.875,6,78,84,0.928571429,7,37,44
ModelSpecificationException,0,0,0,100,0,2,2,1,0,1,1
OrientedPoint,2,4,6,0.666666667,8,12,20,0.6,7,9,16
Vector1DFormat,1,3,4,0.75,4,19,23,0.826086957,2,9,11
Euclidean1D.LazyHolder,0,0,0,100,0,1,1,1,0,1,1
Vector1D,1,15,16,0.9375,3,71,74,0.959459459,2,41,43
Euclidean1D,0,0,0,100,0,4,4,1,0,4,4
Euclidean1D.NoSubSpaceException,0,0,0,100,0,2,2,1,0,1,1
IntervalsSet,15,77,92,0.836956522,19,125,144,0.868055556,17,60,77
SubOrientedPoint,0,4,4,1,1,10,11,0.909090909,1,6,7
