GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.ps.dsc.tools,PageExtractor.new DSCFilter() {...},18,0,4,0,4,0,4,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.ps.dsc.tools,DSCTools,81,47,22,11,23,11,15,6,2,2
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.ps.dsc.tools,PageExtractor,136,0,20,0,35,0,11,0,1,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,DublinCoreAdapter,114,101,2,6,36,27,26,17,24,15
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,XMPBasicAdapter,33,81,1,3,11,19,8,9,7,8
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,XMPBasicSchema,2,32,0,0,1,7,1,3,1,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,DublinCoreSchema,2,25,0,0,1,6,1,3,1,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image,GraphicsUtil,2281,0,239,0,481,0,149,0,28,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSchemaAdapter,59,544,24,78,15,151,23,52,1,23
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPArrayType,13,22,0,0,2,6,2,2,2,2
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPProperty,143,156,25,13,35,38,21,16,6,12
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPParser,0,30,0,0,0,8,0,3,0,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSchemaRegistry,0,72,0,0,0,18,0,6,0,6
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPArray,183,234,30,38,36,53,25,25,4,12
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSerializer,78,41,9,3,17,16,7,2,1,2
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPComplexValue,0,3,0,0,0,1,0,1,0,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSchema,9,20,0,0,2,7,2,4,2,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPConstants,0,8,0,0,0,1,0,1,0,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,Metadata,55,189,11,13,15,51,13,9,4,6
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPPacketParser,118,0,18,0,36,0,13,0,4,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPHandler,122,535,19,67,25,123,18,38,0,13
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPStructure,57,40,2,0,14,10,6,6,5,6
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.java2d.color.profile,NamedColorProfileParser,98,277,7,14,15,63,8,16,1,12
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.java2d.color.profile,ColorProfileUtil,82,38,7,5,19,9,10,2,4,2
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.java2d.color.profile,NamedColorProfile,52,43,6,0,9,13,5,5,2,5
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderEPS,5,49,1,3,1,13,1,4,0,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,CompositeImageLoader,90,69,14,8,18,14,12,5,2,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,PreloaderJPEG,81,429,26,36,19,111,23,14,0,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,AbstractImageSessionContext.UnrestrictedFallbackResolver,135,98,14,20,25,34,12,8,0,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageRendered,0,47,0,2,0,16,0,8,0,7
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,AbstractImagePreloader,3,23,1,1,1,8,1,3,0,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderFactoryRaw,21,144,3,11,3,16,3,11,0,7
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderFactoryPNG,0,44,0,2,0,10,0,7,0,6
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,AbstractImageLoader,14,15,5,1,2,5,3,4,0,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,PreloaderGIF,2,131,7,11,1,23,7,6,0,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageRawStream.SingleStreamFactory,5,29,1,1,1,13,1,5,0,5
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageRawCCITTFax,3,12,0,0,1,4,1,2,1,2
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderRawCCITTFax,46,138,10,9,9,38,10,4,0,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,AbstractImageLoaderFactory,7,5,0,0,2,2,1,2,1,2
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderFactoryInternalTIFF,12,32,1,1,1,8,1,6,0,6
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,DefaultImageSessionContext,7,46,0,2,3,13,1,5,1,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,PNGFile,178,480,23,53,33,107,21,26,1,6
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,PreloaderBMP,2,125,2,10,1,32,2,7,0,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,PreloaderRawPNG,4,49,2,2,2,14,2,3,0,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageRawJPEG,6,24,0,0,2,8,2,3,2,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderRawCCITTFax.FillOrderChangeInputStream,1076,0,6,0,13,0,7,0,4,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,PreloaderEPS.EPSBinaryFileHeader,30,9,4,0,6,3,8,3,6,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageConverterBitmap2G2D.Graphics2DImagePainterImpl,60,0,4,0,15,0,5,0,3,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,AbstractImageSessionContext.RestrictedFallbackResolver,33,0,6,0,8,0,5,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageRawEPS,15,6,0,0,4,2,2,1,2,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageGraphics2D,11,16,2,0,4,7,2,4,1,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderInternalTIFF,36,9,0,0,8,4,2,3,2,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderPNG,0,38,0,0,0,10,0,4,0,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderRaw,43,5,2,0,9,2,3,1,2,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,AbstractImageSessionContext,108,213,17,23,24,49,16,15,1,10
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageRawStream.ByteArrayStreamFactory,1,14,0,0,1,5,1,3,1,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageConverterRendered2PNG,11,64,4,4,1,14,4,5,0,5
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageRawStream,20,44,2,4,7,13,3,8,2,6
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderFactoryRawCCITTFax,82,102,13,11,11,21,11,9,1,7
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,AbstractImageSessionContext.ObservingImageInputStreamInvocationHandler,14,20,1,1,3,6,1,2,0,2
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderFactoryEPS,12,32,1,1,1,8,1,6,0,6
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageConverterG2D2Bitmap,109,251,14,15,24,54,13,10,1,7
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageConverterBitmap2G2D,31,13,5,1,6,3,4,4,1,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,DefaultImageContext,17,0,2,0,7,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,PreloaderEPS,29,244,7,22,6,72,7,13,0,5
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderRawJPEG,238,219,30,21,46,70,25,8,1,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageConverterBuffered2Rendered,6,36,3,3,0,9,3,6,0,6
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,PreloaderEMF,2,147,3,9,1,32,3,6,0,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageXMLDOM,42,0,0,0,14,0,6,0,6,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageLoaderRawPNG,0,47,0,2,0,14,0,6,0,5
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageBuffered,0,12,0,0,0,4,0,3,0,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,AbstractImage,27,13,2,0,5,5,4,3,3,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,JPEGFile,12,47,2,2,4,14,4,5,2,5
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,PreloaderTIFF,112,250,24,28,22,62,21,9,0,4
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,AbstractImageConverter,12,12,1,1,1,4,1,3,0,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.loader.impl,ImageRawPNG,53,45,4,0,14,17,8,6,6,6
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.codec.png,PNGEncodeParam,631,319,63,23,178,63,83,25,46,19
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.codec.png,PNGEncodeParam.RGB,77,6,10,0,21,2,11,2,6,2
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.codec.png,PNGRed,4678,0,468,0,896,0,283,0,33,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.codec.png,PNGSuggestedPaletteEntry,3,0,0,0,1,0,1,0,1,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.codec.png,PNGImage,2959,1901,351,125,576,297,241,43,14,16
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.codec.png,PNGChunk.ChunkType,0,194,0,0,0,20,0,1,0,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image.codec.png,PNGDecodeParam,59,36,4,0,23,12,12,9,10,9
